RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
11,11,2023-03-08 08:38:06.0895048,1003,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: c1a197b6-ba5e-4394-b9bf-b659a6c1b873, 1, 0 [(0 )(1 )(2 )(3 [0x00000000, 0, 1], [(?)( 1 0x00000000)( 6 0x00000000 10 14400)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])]\n\n"",""Binary"":""""}}"
12,12,2023-03-08 08:38:06.1676203,1034,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
13,13,2023-03-08 08:38:06.3083476,0,Info,edgeupdate,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Service stopped"",""Binary"":""""}}"
14,14,2023-03-08 08:38:05.9407799,1531,Info,Microsoft-Windows-User Profiles Service,Application,2124,2192,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
15,15,2023-03-08 08:38:06.1082895,5615,Info,Microsoft-Windows-WMI,Application,2760,2956,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
16,16,2023-03-07 19:38:24.0439037,4097,Info,Microsoft-Windows-CAPI2,Application,2700,3120,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""CN=DigiCert Global Root CA, OU=www.digicert.com, O=DigiCert Inc, C=US, A8985D3A65E5E5C4B2D7D66D40C6DD2FB19C5436"",""Binary"":""""}}"
17,17,2023-03-07 19:38:29.1380399,4097,Info,Microsoft-Windows-CAPI2,Application,2700,3120,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""CN=DigiCert Global Root G2, OU=www.digicert.com, O=DigiCert Inc, C=US, DF3C24F9BFD666761B268073FE06D1CC8D4F82A4"",""Binary"":""""}}"
18,18,2023-03-07 19:38:31.1377898,1001,Info,Windows Error Reporting,Application,0,0,WIN-D7MHOC9OLC8,0,,Application Crash,,,,,,,,,MicrosoftEdgeUpdate.exe,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""1981902627592199726, 5, crashpad_log, Not available, 0, MicrosoftEdgeUpdate.exe, 1.3.135.41, InstallError, 0x80040823, \n\\\\?\\C:\\ProgramData\\Microsoft\\EdgeUpdate\\Log\\MicrosoftEdgeUpdate.log\n\\\\?\\C:\\Windows\\TEMP\\msedge_installer.log\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.ffa77c9a-d48c-474c-a785-a7ecb1a90ebf.tmp.WERInternalMetadata.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.dadf1d31-5815-460b-bccf-caf44fa69899.tmp.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.f6a89b15-c28d-4a94-9f8a-67be306bcf5f.tmp.csv\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.9a308722-b4cf-4971-bd71-c535b885cd39.tmp.txt, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportArchive\\NonCritical_MicrosoftEdgeUpd_af6a89ad1c3329701b58db5de2b90749d9b2a17_00000000_ecb0c8b2-3724-4ba6-990b-a1688e244161, 0, ecb0c8b2-3724-4ba6-990b-a1688e244161, 268435456, 6495f5b5c9615f912b8121f0710bde2e, 0"",""Binary"":""""}}"
19,19,2023-03-07 19:38:31.1536825,1001,Info,Windows Error Reporting,Application,0,0,WIN-D7MHOC9OLC8,0,,Application Crash,,,,,,,,,MicrosoftEdgeUpdate.exe,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0, crashpad_log, Not available, 0, MicrosoftEdgeUpdate.exe, 1.3.135.41, InstallError, 0x80040823, \n\\\\?\\C:\\ProgramData\\Microsoft\\EdgeUpdate\\Log\\MicrosoftEdgeUpdate.log\n\\\\?\\C:\\Windows\\TEMP\\msedge_installer.log, 0, ecb0c8b2-3724-4ba6-990b-a1688e244161, 268697600, 0"",""Binary"":""""}}"
20,20,2023-03-07 19:39:07.1196600,5617,Info,Microsoft-Windows-WMI,Application,2760,2956,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""EventData"":""""}"
21,21,2023-03-07 19:40:07.5598398,4202,Info,Microsoft-Windows-MSDTC 2,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""0""},{""@Name"":""param2"",""#text"":""0""},{""@Name"":""param3"",""#text"":""0""},{""@Name"":""param4"",""#text"":""0""},{""@Name"":""param5"",""#text"":""0""},{""@Name"":""param6"",""#text"":""0""},{""@Name"":""param7"",""#text"":""1""},{""@Name"":""param8"",""#text"":""Mutual Authentication Required""},{""@Name"":""param9"",""#text"":""NT AUTHORITY\\NetworkService""},{""@Name"":""param10"",""#text"":""0""},{""@Name"":""param11"",""#text"":""0""},{""@Name"":""param12"",""#text"":""1""}]}}"
22,22,2023-03-07 19:42:16.7525211,1000,Info,Microsoft-Windows-LoadPerf,Application,2916,2928,WIN-D7MHOC9OLC8,0,S-1-5-18,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,Classic,0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""16"",""binaryData"":""3C-23-00-00-E2-23-00-00-3D-23-00-00-E3-23-00-00""}}}"
23,23,2023-03-07 19:44:19.6535155,1001,Info,Windows Error Reporting,Application,0,0,WIN-D7MHOC9OLC8,0,,Application Crash,,,,,,,,,MicrosoftEdgeUpdate.exe,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""1981902627592199726, 5, crashpad_log, Not available, 0, MicrosoftEdgeUpdate.exe, 1.3.135.41, InstallError, 0x80040823, \n\\\\?\\C:\\ProgramData\\Microsoft\\EdgeUpdate\\Log\\MicrosoftEdgeUpdate.log\n\\\\?\\C:\\Windows\\TEMP\\msedge_installer.log\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.1ea534c4-2025-4794-affd-05d597c1847e.tmp.WERInternalMetadata.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.da845b3a-1aed-4f94-b971-c2ec46b74ec2.tmp.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.999d3031-446d-4076-be4e-ec847e96746d.tmp.csv\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER.6f45decf-4eaf-4462-b86c-2151c210f3a2.tmp.txt, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportArchive\\NonCritical_MicrosoftEdgeUpd_af6a89ad1c3329701b58db5de2b90749d9b2a17_00000000_51ea7e4d-2293-4221-aa36-aa3bbfdec688, 0, 51ea7e4d-2293-4221-aa36-aa3bbfdec688, 268435456, 6495f5b5c9615f912b8121f0710bde2e, 0"",""Binary"":""""}}"
24,24,2023-03-07 19:44:19.6535155,1001,Info,Windows Error Reporting,Application,0,0,WIN-D7MHOC9OLC8,0,,Application Crash,,,,,,,,,MicrosoftEdgeUpdate.exe,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0, crashpad_log, Not available, 0, MicrosoftEdgeUpdate.exe, 1.3.135.41, InstallError, 0x80040823, \n\\\\?\\C:\\ProgramData\\Microsoft\\EdgeUpdate\\Log\\MicrosoftEdgeUpdate.log\n\\\\?\\C:\\Windows\\TEMP\\msedge_installer.log, 0, 51ea7e4d-2293-4221-aa36-aa3bbfdec688, 268697600, 0"",""Binary"":""""}}"
25,25,2023-03-07 19:45:18.9392799,4113,Info,Microsoft-Windows-CAPI2,Application,2700,4252,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""‎Wednesday, ‎May ‎31, ‎2017 3:28:59 PM"",""Binary"":""""}}"
26,26,2023-03-07 19:46:18.4285645,6003,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
27,27,2023-03-07 19:46:19.1475935,5,Info,Microsoft-Windows-Search-ProfileNotify,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":{""@Name"":""User"",""#text"":""WIN-D7MHOC9OLC8\\Administrator""},""Binary"":""""}}"
28,28,2023-03-07 19:46:19.7881234,6000,Info,Microsoft-Windows-Winlogon,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
29,29,2023-03-07 19:46:20.0226230,16388,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2023-03-07T19:46:20Z, 2023-03-08T08:45:42Z"",""Binary"":""""}}"
30,30,2023-03-07 19:46:20.1472224,8230,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-Action-StateData (REG_SZ) =AppId=55c92734-d682-4d71-983e-d6ec3f16059f;GraceEndDate=2023/03/17:19:38:20;LastConsumptionReason=0x4004f00c;LastNotificationId=NeverActivated;LicenseState=SL_LICENSING_STATUS_IN_GRACE_PERIOD;PartialProductKey=W8JDY;ProductKeyType=Retail:TB:Eval;SkuId=c1a197b6-ba5e-4394-b9bf-b659a6c1b873;ruleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;uxDifferentiator=TIMEBASED_EVAL"",""Binary"":""""}}"
31,31,2023-03-07 19:46:26.4130532,1013,LogAlways,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""c1a197b6-ba5e-4394-b9bf-b659a6c1b873"",""Binary"":""""}}"
32,32,2023-03-07 19:46:26.4445473,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""XrML 2.1 License - {msft:sl/EUL/ACTIVATED/PUBLIC}, 9e6168a0-0d33-4e6e-9172-56a118b905b7"",""Binary"":""""}}"
33,33,2023-03-07 19:46:26.4445473,1004,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""XrML 2.1 License - {msft:sl/EUL/ACTIVATED/PRIVATE}, 56b2fb1e-122d-4f64-ba81-1d0028d61a33"",""Binary"":""""}}"
34,34,2023-03-07 19:46:26.4600503,1067,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0x00000000, c1a197b6-ba5e-4394-b9bf-b659a6c1b873, SL_ACTIVATION_VALIDATION_IN_PROGRESS"",""Binary"":""01-00-00-00""}}"
35,35,2023-03-07 19:46:28.2660968,20488,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
36,36,2023-03-07 19:46:28.4615051,20481,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
37,37,2023-03-07 19:46:28.5851017,20482,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
38,38,2023-03-07 19:46:28.7201018,1034,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
39,39,2023-03-07 19:46:28.7801010,20489,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
40,40,2023-03-07 19:46:30.1351143,12305,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f"",""Binary"":""""}}"
41,41,2023-03-07 19:46:30.1361021,12304,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""{99d92734-d682-4d71-983e-d6ec3f16059f}"",""Binary"":""""}}"
42,42,2023-03-07 19:46:31.2260558,12311,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
43,43,2023-03-07 19:46:32.5385120,1036,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""259200, 9"",""Binary"":""""}}"
44,44,2023-03-07 19:46:32.5700162,1034,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-Reserved-LicenseProperties, 100"",""Binary"":""""}}"
45,45,2023-03-07 19:46:32.5855456,1033,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""(Security-SPP-Reserved-EnableNotificationMode) , 55c92734-d682-4d71-983e-d6ec3f16059f, c1a197b6-ba5e-4394-b9bf-b659a6c1b873"",""Binary"":""""}}"
46,46,2023-03-07 19:46:32.6635289,1003,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: c1a197b6-ba5e-4394-b9bf-b659a6c1b873, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0x00000000 180 259200)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 )]\n\n"",""Binary"":""""}}"
47,47,2023-03-07 19:46:32.6635289,1003,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: c1a197b6-ba5e-4394-b9bf-b659a6c1b873, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0x00000000 180 259200)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 )]\n\n"",""Binary"":""""}}"
48,48,2023-03-07 19:46:32.6635289,1037,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""validity, 259200"",""Binary"":""""}}"
49,49,2023-03-07 19:46:32.6950258,16388,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2023-03-07T19:46:32Z, 2023-03-08T08:45:55Z"",""Binary"":""""}}"
50,50,2023-03-07 19:46:32.7418790,1003,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: c1a197b6-ba5e-4394-b9bf-b659a6c1b873, 1, 1 [(0 [0x00000000, 1, 0], [(?)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0x00000000 180 259200)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 )]\n\n"",""Binary"":""""}}"
51,51,2023-03-07 19:46:32.7728952,8197,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=c1a197b6-ba5e-4394-b9bf-b659a6c1b873;NotificationInterval=1440;Trigger=UserLogon;SessionId=1"",""Binary"":""""}}"
52,52,2023-03-07 19:46:32.7885202,8230,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-Action-StateData (REG_SZ) =AppId=55c92734-d682-4d71-983e-d6ec3f16059f;GraceEndDate=2023/09/03:19:46:32;LastConsumptionReason=0x4004fc04;LastNotificationId=Cleanup;LicenseState=SL_LICENSING_STATUS_LICENSED;PartialProductKey=W8JDY;ProductKeyType=Retail:TB:Eval;SkuId=c1a197b6-ba5e-4394-b9bf-b659a6c1b873;ruleId=379cccfb-d4e0-48fe-b0f2-0136097be147;uxDifferentiator=TIMEBASED_EVAL"",""Binary"":""""}}"
53,53,2023-03-07 19:46:32.7885202,8197,Info,Microsoft-Windows-Security-SPP,Application,0,0,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""RuleId=379cccfb-d4e0-48fe-b0f2-0136097be147;Action=CleanupState;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=c1a197b6-ba5e-4394-b9bf-b659a6c1b873;Trigger=TimerEvent"",""Binary"":""""}}"
54,54,2023-03-07 19:46:36.8510534,4109,Info,Microsoft-Windows-CAPI2,Application,2700,2588,WIN-D7MHOC9OLC8,0,,,,,,,,,,,,False,C:\Users\quentin\Documents\repo\writeups\CrownJewel-2\too\APPLICATION.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""OU=Class 3 Public Primary Certification Authority, O=\""VeriSign, Inc.\"", C=US, 742C3192E607E424EB4549542BE1BBC53E6174E2"",""Binary"":""""}}"
